DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
22-Apr-26,"2,580.00","2,580.00","2,503.60","2,538.50",5232045
21-Apr-26,"2,560.00","2,614.00","2,560.00","2,610.50",2719959
20-Apr-26,"2,587.10","2,594.00","2,561.20","2,579.60",2288558
17-Apr-26,"2,570.00","2,589.00","2,555.90","2,581.50",2718206
16-Apr-26,"2,572.00","2,594.00","2,558.00","2,576.90",3905403
15-Apr-26,"2,501.90","2,559.00","2,493.40","2,554.90",5261384
13-Apr-26,"2,489.90","2,504.90","2,470.00","2,472.60",3739587
10-Apr-26,"2,565.80","2,565.80","2,501.10","2,524.30",10480239
09-Apr-26,"2,554.00","2,605.00","2,531.10","2,589.00",5628261
08-Apr-26,"2,572.00","2,580.30","2,540.10","2,559.20",4769337
07-Apr-26,"2,461.00","2,543.90","2,448.00","2,539.80",4516550
06-Apr-26,"2,474.00","2,482.00","2,448.20","2,473.90",2572417
02-Apr-26,"2,386.00","2,469.90","2,375.70","2,450.70",5378361
01-Apr-26,"2,429.00","2,472.00","2,397.90","2,408.20",4132661
30-Mar-26,"2,375.10","2,398.00","2,346.20","2,358.90",6804756
27-Mar-26,"2,403.90","2,422.10","2,385.00","2,389.80",4979411
25-Mar-26,"2,400.90","2,421.60","2,369.80","2,377.40",5843778
24-Mar-26,"2,404.10","2,435.40","2,379.10","2,398.80",3420182
23-Mar-26,"2,365.00","2,406.80","2,348.00","2,383.80",3860515
20-Mar-26,"2,386.00","2,407.80","2,364.20","2,390.60",4206320
19-Mar-26,"2,417.00","2,424.00","2,350.20","2,356.00",2757060
18-Mar-26,"2,410.00","2,482.90","2,410.00","2,440.80",3082388
17-Mar-26,"2,420.00","2,420.00","2,360.00","2,391.70",2993367
16-Mar-26,"2,410.00","2,425.00","2,366.10","2,409.20",3807907
13-Mar-26,"2,437.00","2,445.90","2,397.00","2,410.50",2466488
12-Mar-26,"2,459.80","2,472.90","2,436.00","2,442.40",2752075
11-Mar-26,"2,508.10","2,521.00","2,460.10","2,464.90",2720664
10-Mar-26,"2,541.00","2,545.20","2,490.10","2,513.10",4323710
09-Mar-26,"2,530.00","2,560.00","2,505.00","2,527.40",3653428
06-Mar-26,"2,572.00","2,619.20","2,553.60","2,557.60",3998643
05-Mar-26,"2,600.00","2,609.50","2,546.40","2,578.80",2960636
04-Mar-26,"2,625.00","2,635.00","2,580.40","2,587.80",3446434
02-Mar-26,"2,592.00","2,623.80","2,580.30","2,613.50",3374385
27-Feb-26,"2,681.60","2,688.60","2,626.10","2,637.40",5083717
26-Feb-26,"2,650.00","2,671.00","2,635.00","2,647.70",3464267
25-Feb-26,"2,596.00","2,654.20","2,595.00","2,629.30",3621285
24-Feb-26,"2,641.00","2,647.50","2,561.30","2,573.70",7798833
23-Feb-26,"2,686.00","2,704.00","2,660.20","2,676.30",4699596
20-Feb-26,"2,667.00","2,702.60","2,647.50","2,686.20",2293482
19-Feb-26,"2,708.00","2,748.70","2,666.60","2,677.90",3238849
18-Feb-26,"2,730.00","2,730.00","2,657.30","2,694.90",2950820
17-Feb-26,"2,716.00","2,760.00","2,695.20","2,717.40",4209118
16-Feb-26,"2,700.00","2,719.80","2,671.00","2,706.60",2918730
13-Feb-26,"2,585.00","2,713.00","2,585.00","2,692.20",11168735
12-Feb-26,"2,869.80","2,880.00","2,740.00","2,750.10",10612156
11-Feb-26,"2,980.00","2,998.00","2,904.20","2,909.80",3363513
10-Feb-26,"2,949.80","3,011.60","2,943.50","2,984.60",3547763
09-Feb-26,"2,959.10","2,977.00","2,937.50","2,948.20",2380318
06-Feb-26,"2,976.60","2,985.00","2,916.00","2,941.60",4687389
05-Feb-26,"2,990.00","3,029.70","2,972.30","2,991.50",3521545
04-Feb-26,"3,120.00","3,120.00","2,986.00","2,999.10",10852595
03-Feb-26,"3,350.00","3,350.00","3,186.30","3,225.30",4366060
02-Feb-26,"3,198.00","3,198.00","3,134.00","3,169.60",2636272
01-Feb-26,"3,123.80","3,234.00","3,105.20","3,186.90",3012937
30-Jan-26,"3,141.00","3,141.00","3,092.00","3,123.90",3022068
29-Jan-26,"3,200.10","3,200.10","3,125.60","3,144.40",2457641
28-Jan-26,"3,176.00","3,205.20","3,170.60","3,200.10",2751234
27-Jan-26,"3,175.00","3,175.00","3,130.00","3,158.00",4279874
23-Jan-26,"3,190.30","3,194.50","3,152.00","3,162.50",2068857
22-Jan-26,"3,150.00","3,160.00","3,122.30","3,150.40",2269827
21-Jan-26,"3,100.00","3,138.50","3,082.00","3,122.60",2015150
20-Jan-26,"3,151.60","3,160.00","3,091.10","3,102.30",4499273
19-Jan-26,"3,188.00","3,220.00","3,152.10","3,163.60",3387562
16-Jan-26,"3,219.40","3,221.90","3,171.00","3,206.70",4293470
14-Jan-26,"3,260.00","3,260.00","3,183.00","3,192.50",3539511
13-Jan-26,"3,245.00","3,280.00","3,210.50","3,268.00",5645341
12-Jan-26,"3,203.00","3,252.00","3,174.30","3,239.60",2228342
09-Jan-26,"3,191.00","3,229.70","3,191.00","3,207.80",1938673
08-Jan-26,"3,286.90","3,286.90","3,182.00","3,203.90",4159336
07-Jan-26,"3,242.90","3,300.60","3,223.20","3,295.60",1989442
06-Jan-26,"3,210.00","3,263.20","3,205.00","3,255.80",2912325
05-Jan-26,"3,240.50","3,247.00","3,191.00","3,216.10",2341703
02-Jan-26,"3,234.00","3,254.30","3,219.50","3,250.70",1184324
01-Jan-26,"3,215.00","3,234.10","3,198.20","3,227.40",1255735
31-Dec-25,"3,240.00","3,246.00","3,198.50","3,206.20",3362634
30-Dec-25,"3,250.00","3,267.50","3,239.50","3,246.80",2807593
29-Dec-25,"3,280.00","3,288.00","3,242.90","3,251.50",2079473
26-Dec-25,"3,313.10","3,320.00","3,271.80","3,280.00",1176664
24-Dec-25,"3,304.10","3,327.10","3,296.10","3,319.00",1367708
23-Dec-25,"3,319.90","3,319.90","3,293.50","3,310.00",2365420
22-Dec-25,"3,310.00","3,328.60","3,291.00","3,324.90",2632816
19-Dec-25,"3,299.00","3,317.90","3,278.80","3,282.00",3902511
18-Dec-25,"3,228.00","3,287.80","3,221.00","3,280.80",2307422
17-Dec-25,"3,200.50","3,236.90","3,200.50","3,217.80",1376350
16-Dec-25,"3,220.00","3,220.00","3,191.10","3,205.10",1734623
15-Dec-25,"3,211.10","3,238.20","3,197.30","3,230.20",1562190
12-Dec-25,"3,197.70","3,223.00","3,185.70","3,220.50",1146554
11-Dec-25,"3,205.00","3,208.40","3,153.10","3,191.90",1914362
10-Dec-25,"3,225.00","3,225.00","3,178.10","3,189.20",1386849
09-Dec-25,"3,230.00","3,233.70","3,181.20","3,208.30",2734893
08-Dec-25,"3,243.00","3,259.90","3,208.60","3,236.50",2544725
05-Dec-25,"3,230.00","3,271.60","3,222.40","3,238.20",5244013
04-Dec-25,"3,194.00","3,250.00","3,187.40","3,229.20",5025905
03-Dec-25,"3,140.00","3,211.90","3,139.00","3,180.00",3952112
02-Dec-25,"3,131.00","3,144.00","3,120.40","3,135.70",2512003
01-Dec-25,"3,137.90","3,154.00","3,122.20","3,133.40",1747647
28-Nov-25,"3,140.00","3,147.30","3,125.00","3,137.50",1616690
27-Nov-25,"3,180.00","3,180.00","3,125.00","3,136.60",2836233
26-Nov-25,"3,118.80","3,178.00","3,117.00","3,162.90",2508527
25-Nov-25,"3,145.30","3,149.80","3,115.00","3,119.20",2737920
24-Nov-25,"3,158.00","3,178.90","3,131.00","3,141.20",6703764
21-Nov-25,"3,144.80","3,170.00","3,135.20","3,150.60",4177037
20-Nov-25,"3,148.00","3,164.50","3,138.10","3,144.80",2700767
19-Nov-25,"3,097.00","3,155.00","3,083.50","3,147.70",3151053
18-Nov-25,"3,102.00","3,105.00","3,078.00","3,087.10",2548350
17-Nov-25,"3,106.00","3,123.50","3,086.60","3,102.20",2232853
14-Nov-25,"3,090.00","3,113.10","3,077.30","3,106.00",2210794
13-Nov-25,"3,131.80","3,131.90","3,102.00","3,105.70",1740435
12-Nov-25,"3,060.00","3,136.40","3,057.10","3,131.80",4460315
11-Nov-25,"3,045.00","3,055.70","3,018.00","3,047.00",2806868
10-Nov-25,"2,993.00","3,047.90","2,992.00","3,025.20",1556656
07-Nov-25,"3,001.00","3,004.00","2,960.50","2,991.80",1830520
06-Nov-25,"2,990.10","3,024.00","2,990.00","3,010.90",2542721
04-Nov-25,"3,019.60","3,029.30","2,976.00","2,990.20",2670720
03-Nov-25,"3,046.90","3,058.00","3,010.00","3,016.80",2194877
31-Oct-25,"3,035.00","3,067.40","3,025.10","3,058.00",1868085
30-Oct-25,"3,049.10","3,063.80","3,032.80","3,035.30",2241536
29-Oct-25,"3,057.90","3,076.00","3,046.10","3,057.60",2895420
28-Oct-25,"3,076.00","3,090.20","3,040.20","3,057.90",3470737
27-Oct-25,"3,066.50","3,094.20","3,060.20","3,084.90",1946312
24-Oct-25,"3,080.00","3,090.00","3,058.30","3,063.20",2684318
23-Oct-25,"3,055.00","3,098.00","3,036.10","3,073.20",5564758
21-Oct-25,"3,031.10","3,031.80","2,996.00","3,006.70",310644
20-Oct-25,"2,985.50","3,023.00","2,978.50","3,015.20",3133039
17-Oct-25,"2,970.00","2,988.80","2,955.40","2,962.20",4374683
16-Oct-25,"2,969.90","2,975.00","2,943.10","2,970.70",3251495
15-Oct-25,"2,971.00","2,979.70","2,951.00","2,969.80",4282226
14-Oct-25,"3,021.00","3,027.20","2,955.50","2,960.30",3611416
13-Oct-25,"3,027.00","3,035.50","2,998.20","3,007.20",2866865
10-Oct-25,"3,050.00","3,070.00","3,006.90","3,028.30",8817365
09-Oct-25,"3,034.00","3,066.00","3,020.00","3,061.70",3211304
08-Oct-25,"2,975.00","3,043.00","2,968.00","3,027.20",4121889
07-Oct-25,"2,995.00","3,004.50","2,955.50","2,973.70",3062943
06-Oct-25,"2,902.00","2,993.60","2,895.60","2,988.40",2112774
03-Oct-25,"2,924.00","2,924.00","2,891.10","2,901.90",2899519
01-Oct-25,"2,891.00","2,924.80","2,866.60","2,914.20",1952902
30-Sep-25,"2,911.00","2,915.30","2,885.10","2,888.40",2253458
29-Sep-25,"2,916.00","2,929.30","2,894.00","2,896.10",3110035
26-Sep-25,"2,941.00","2,954.80","2,891.30","2,899.10",3934636
25-Sep-25,"3,022.00","3,029.60","2,951.00","2,957.40",4974361
24-Sep-25,"3,050.00","3,057.00","3,033.00","3,035.40",1625714
23-Sep-25,"3,070.00","3,080.70","3,052.00","3,062.40",3177741
22-Sep-25,"3,095.00","3,106.90","3,065.00","3,073.80",3634901
19-Sep-25,"3,170.00","3,180.50","3,144.00","3,169.20",4901694
18-Sep-25,"3,185.00","3,203.00","3,161.40","3,176.70",2633138
17-Sep-25,"3,152.00","3,182.40","3,142.40","3,172.80",2418271
16-Sep-25,"3,128.00","3,150.00","3,109.10","3,145.70",2573429
15-Sep-25,"3,134.00","3,134.00","3,096.00","3,111.90",1732539
12-Sep-25,"3,144.00","3,148.70","3,121.00","3,133.40",1447167
11-Sep-25,"3,139.00","3,139.00","3,110.10","3,124.20",2263446
10-Sep-25,"3,056.40","3,122.70","3,053.40","3,110.00",2079428
09-Sep-25,"3,032.10","3,060.00","3,030.80","3,049.40",2489301
08-Sep-25,"3,050.00","3,064.90","3,016.00","3,019.00",2626187
05-Sep-25,"3,097.10","3,103.40","3,028.60","3,048.30",2802055
04-Sep-25,"3,116.00","3,118.00","3,090.80","3,095.70",1481391
03-Sep-25,"3,129.90","3,141.90","3,088.00","3,097.50",1799774
02-Sep-25,"3,121.10","3,155.00","3,103.10","3,111.50",2185229
01-Sep-25,"3,090.00","3,131.10","3,090.00","3,112.60",1246862
29-Aug-25,"3,093.00","3,115.00","3,077.20","3,084.70",2271789
28-Aug-25,"3,145.00","3,146.50","3,086.50","3,093.70",3116051
26-Aug-25,"3,129.00","3,162.00","3,120.00","3,157.20",5522097
25-Aug-25,"3,087.30","3,152.00","3,077.10","3,140.60",3448370
22-Aug-25,"3,086.00","3,095.70","3,050.00","3,054.00",1593791
21-Aug-25,"3,130.00","3,130.00","3,083.10","3,102.60",3230726
20-Aug-25,"3,010.90","3,103.40","3,010.90","3,098.60",4952358
19-Aug-25,"3,011.20","3,025.00","3,011.10","3,016.20",2650784
18-Aug-25,"3,046.50","3,049.00","3,003.40","3,011.20",2945609
14-Aug-25,"3,034.00","3,055.90","3,019.10","3,022.30",3342174
13-Aug-25,"3,036.10","3,044.40","3,028.60","3,036.20",2148166
12-Aug-25,"3,041.00","3,096.40","3,026.90","3,035.40",3358232
11-Aug-25,"3,036.40","3,049.90","3,021.30","3,040.80",1884215
08-Aug-25,"3,048.10","3,059.80","3,025.00","3,036.40",2762140
07-Aug-25,"3,016.00","3,051.60","3,010.90","3,047.00",2543076
06-Aug-25,"3,063.00","3,066.80","3,026.00","3,032.30",1487081
05-Aug-25,"3,074.40","3,077.50","3,042.00","3,063.90",1927996
04-Aug-25,"3,009.10","3,079.40","2,991.60","3,074.40",2519252
01-Aug-25,"3,029.90","3,036.80","3,000.00","3,003.00",2053847
31-Jul-25,"3,041.70","3,059.80","3,015.00","3,036.80",2968371
30-Jul-25,"3,060.00","3,069.00","3,047.20","3,053.60",2880121
29-Jul-25,"3,060.00","3,074.00","3,041.20","3,056.00",4785312
28-Jul-25,"3,110.00","3,118.00","3,069.90","3,079.30",3374473
25-Jul-25,"3,140.00","3,156.90","3,125.60","3,135.80",2568917
24-Jul-25,"3,165.10","3,173.70","3,140.00","3,148.00",2934778
23-Jul-25,"3,159.60","3,182.00","3,157.60","3,179.10",1922875
22-Jul-25,"3,159.60","3,180.10","3,154.60","3,159.60",3198036
21-Jul-25,"3,190.00","3,197.60","3,152.00","3,158.20",3844346
18-Jul-25,"3,225.00","3,228.80","3,187.00","3,189.90",3432645
17-Jul-25,"3,224.10","3,242.00","3,204.10","3,209.20",2947640
16-Jul-25,"3,227.00","3,244.90","3,220.60","3,233.10",2540733
15-Jul-25,"3,206.00","3,259.40","3,206.00","3,252.30",2590889
14-Jul-25,"3,266.00","3,272.00","3,200.00","3,222.70",3924009
11-Jul-25,"3,299.90","3,335.00","3,261.10","3,266.00",7635550
10-Jul-25,"3,380.00","3,399.00","3,356.00","3,382.00",3035012
09-Jul-25,"3,410.00","3,414.00","3,367.00","3,383.80",2034938
08-Jul-25,"3,405.00","3,425.00","3,393.40","3,406.20",2325242
07-Jul-25,"3,418.30","3,426.10","3,408.40","3,411.70",1639174
04-Jul-25,"3,408.00","3,427.00","3,390.10","3,419.80",1109320
03-Jul-25,"3,430.00","3,435.30","3,397.60","3,400.80",2531870
02-Jul-25,"3,487.20","3,489.90","3,420.00","3,423.30",3090585
01-Jul-25,"3,455.00","3,485.00","3,413.50","3,429.70",2375183
30-Jun-25,"3,439.90","3,464.90","3,430.00","3,462.00",1468351
27-Jun-25,"3,455.00","3,466.40","3,431.00","3,441.10",1778433
26-Jun-25,"3,444.80","3,451.40","3,415.30","3,441.80",2879106
25-Jun-25,"3,407.30","3,450.00","3,400.00","3,444.80",1757699
24-Jun-25,"3,434.60","3,442.10","3,382.00","3,390.40",3403048
23-Jun-25,"3,415.00","3,425.00","3,370.00","3,393.60",3123421
20-Jun-25,"3,425.00","3,446.30","3,410.90","3,435.70",2351248
19-Jun-25,"3,450.00","3,451.00","3,413.00","3,424.00",2672768
18-Jun-25,"3,519.10","3,538.00","3,443.10","3,451.40",2696327
17-Jun-25,"3,510.00","3,520.00","3,488.10","3,515.30",2111940
16-Jun-25,"3,440.00","3,509.00","3,426.20","3,496.30",1934088
13-Jun-25,"3,393.20","3,450.50","3,393.20","3,445.70",2178493
12-Jun-25,"3,471.90","3,474.70","3,423.20","3,434.20",4060134
11-Jun-25,"3,470.00","3,489.00","3,449.10","3,471.90",2847013
10-Jun-25,"3,440.00","3,485.80","3,423.20","3,462.90",2419874
09-Jun-25,"3,400.00","3,434.00","3,390.90","3,421.90",1718678
06-Jun-25,"3,371.10","3,390.90","3,358.70","3,384.20",2070390
05-Jun-25,"3,409.00","3,409.00","3,363.70","3,371.10",3584683
04-Jun-25,"3,389.00","3,394.80","3,370.00","3,380.90",2544807
03-Jun-25,"3,446.00","3,473.50","3,400.50","3,405.20",2848125
02-Jun-25,"3,450.00","3,460.00","3,418.60","3,449.80",1877585
30-May-25,"3,490.00","3,506.70","3,453.10","3,463.40",3404365
29-May-25,"3,504.70","3,532.50","3,486.50","3,498.10",3188072
28-May-25,"3,520.00","3,529.00","3,493.00","3,497.70",1222933
27-May-25,"3,532.00","3,540.00","3,483.10","3,498.70",2467680
26-May-25,"3,521.00","3,545.00","3,510.10","3,537.30",967470
23-May-25,"3,477.00","3,535.00","3,465.60","3,514.60",1274331
22-May-25,"3,495.00","3,497.80","3,451.30","3,477.00",2034383
21-May-25,"3,508.00","3,537.00","3,498.30","3,525.80",1440153
20-May-25,"3,531.80","3,558.00","3,494.00","3,498.30",2038374
19-May-25,"3,550.00","3,550.00","3,503.70","3,518.80",2537377
16-May-25,"3,593.90","3,593.90","3,546.10","3,561.30",1666727
15-May-25,"3,564.00","3,600.00","3,514.10","3,579.90",3548330
14-May-25,"3,521.00","3,561.00","3,508.60","3,548.70",2119499
13-May-25,"3,620.40","3,623.00","3,510.50","3,515.00",3062887
12-May-25,"3,505.00","3,630.50","3,502.20","3,620.40",2228678
09-May-25,"3,399.00","3,446.20","3,398.10","3,440.30",2531757
08-May-25,"3,448.00","3,477.00","3,428.70","3,448.90",2543591
07-May-25,"3,420.60","3,459.50","3,420.60","3,445.10",1477128
06-May-25,"3,460.00","3,473.00","3,437.00","3,460.00",1324763
05-May-25,"3,450.00","3,504.50","3,446.40","3,454.30",1284443
02-May-25,"3,472.00","3,491.50","3,420.00","3,444.70",2115624
30-Apr-25,"3,472.00","3,509.90","3,366.00","3,453.70",2809332
29-Apr-25,"3,455.00","3,495.00","3,430.40","3,472.50",1578332
28-Apr-25,"3,435.00","3,457.80","3,405.00","3,443.50",1593296
25-Apr-25,"3,420.00","3,477.80","3,405.00","3,448.00",2742991
24-Apr-25,"3,401.10","3,412.50","3,387.70","3,401.60",2252175
23-Apr-25,"3,365.00","3,420.90","3,337.30","3,413.00",3543923
22-Apr-25,"3,322.60","3,333.90","3,295.00","3,314.40",2710498
